Al Mg3;
Déplacement (mm);Force (N)
1.02854042553192;4958.57
1.02854042553192;4958.57
1.03719574468085;4942.57
1.03719574468085;4942.57
1.03719574468085;4942.57
1.03719574468085;4974.56
1.03719574468085;5038.54
1.03719574468085;4958.57
1.03719574468085;4990.56
1.0444085106383;4990.56
1.0444085106383;5006.55
1.0444085106383;4926.58
1.0444085106383;4990.56
1.0444085106383;5022.55
1.0444085106383;5054.54
1.0444085106383;5022.55
1.05306382978723;5006.55
1.05306382978723;5022.55
1.05306382978723;5022.55
1.05306382978723;5086.53
1.05306382978723;5070.53
1.05306382978723;5086.53
1.06171914893617;5070.53
1.06171914893617;5038.54
1.06171914893617;5086.53
1.06171914893617;5118.52
1.06171914893617;5102.52
1.06171914893617;4958.57
1.06171914893617;4990.56
1.06893191489362;4942.57
1.06893191489362;4942.57
1.06893191489362;4974.56
1.06893191489362;4958.57
1.06893191489362;4974.56
1.06893191489362;4974.56
1.06893191489362;4974.56
1.07758723404255;4958.57
1.07758723404255;4958.57
1.07758723404255;4958.57
1.07758723404255;4974.56
1.07758723404255;4974.56
1.07758723404255;4990.56
1.0848;4958.57
1.0848;4974.56
1.0848;4958.57
1.0848;4990.56
1.0848;4974.56
1.0848;4990.56
1.09345531914894;4974.56
1.09345531914894;5006.55
1.09345531914894;4974.56
1.09345531914894;5006.55
1.09345531914894;5006.55
1.09345531914894;5006.55
1.10211063829787;4990.56
1.10211063829787;4990.56
1.10211063829787;5006.55
